city,state,population,web_cost ($),web_provider,median_home_price ($),median_home_size (rooms),coffee_shops_100k,parks_100k,non_chain_restaurants (%),arts_edu_workers (%),health_workers (%),wfh (%),description
Chattanooga, TN,,60.0, AT&T Fiber ,186500.0,5.2,27.0,14.0,74.0,8.4,4.5,4.7,"The American South boasts many grand old cities with rich histories, but Chattanooga is number one on our list. It’s also known as Gig City: Chattanooga was the first US city to roll out a citywide gigabit network, and it’s become a major tech hub since then. But it’s also on top thanks to its low cost of living and array of family-friendly attractions. The city is home to the Tennessee Aquarium, the Bluff View Art District, and the Chattanooga Choo Choo, a popular community known for its restaurants and live music."
Bear Valley Springs, CA,5389.0,60.0, Race Communications ,357800.0,,18.0,15.0,74.0,10.1,7.7,12.8,"If you’re looking to make a mountain retreat your new home, consider Bear Valley Springs, a private, gated community nestled in the Tehachapi Mountains. According to Wikipedia, this town offers pleasantly cooler weather than surrounding places during the summer; you’ll definitely see snow in the winter. You can also take a look at nearby Stallion Springs and Golden Hills for remote-working arrangements. The population is just under 5,400, and many residents are retirees."
Pawlet, VT,1344.0,70.0, Vermont Telephone Company ,221500.0,,32.0,22.0,90.0,16.4,2.5,11.1,"The gorgeous Taconic Mountains in Vermont are hiding a gem of a country town called Pawlet, which offers incredible mountain views and quiet country living. Its population is just 1,344 people, so you’re certain to get to know your neighbors fast. The town is home to 22 parks and 32 coffee shops, and most of the restaurants are independently owned. Also consider nearby Springfield and Mount Holly, highly rated southern Vermont towns serviced by Vermont Telephone Company (VTel) for broadband connectivity."
Kaysville, UT,30328.0,55.0, Veracity Networks ,441600.0,8.2,17.0,18.0,69.0,10.3,3.8,7.5,"Known as “Utah’s Hometown,” Kaysville is home to over 30,000 people. You get fantastic mountain views and proximity to Salt Lake City in case you need to experience some city life. The nearby towns of Centerville and Morgan are also great places to live. Kaysville is part of the Ogden-Clearfield metro area, and the massive Hill Air Force Base is a major employer in the area. Median home sizes are a generous 8.2 rooms, and the prices reflect this; the average home cost is $441,600."
Jonesborough, TN,5275.0,60.0, AT&T Fiber ,198400.0,5.5,21.0,13.0,71.0,14.4,3.7,8.7,"A picturesque mountain town filled with local shops, eateries, and other small businesses, Jonesborough calls itself the “storytelling capital of America.” It’s home to both the National Storytelling Festival and the International Storytelling Center, letting it punch far above its weight in terms of culture and quirk. “Tennessee’s oldest town,” founded before it achieved statehood, has a beautifully preserved downtown, with antique shops, independent coffee shops, a farmer’s market, and a distillery. It’s rich with handsome homes and Appalachian culture."
Petoskey, MI,5696.0,100.0, Truestream ,250600.0,5.5,82.0,55.0,90.0,11.2,6.5,7.3,"People are plenty passionate about pleasant Petoskey, a coastal resort in northern Michigan with a preserved Victorian downtown, beaches, and boating. The city’s name comes from the Odawa language and means “where the light shines through the clouds.” That’s a fine description of Petoskey, which is home to some of Michigan’s best ski slopes in the winter and summer fun on the beaches along Little Traverse Bay. And it’s close to Traverse City, called one of the “best small towns in America” by Architectural Digest. Petoskey is expensive for northern Michigan—so expensive that the local low-wage workers can’t afford to live there—but it’s still more affordable than many of the coastal cities from which tech workers may be coming."
Turtle Creek, PA,5281.0,80.0, Verizon Fios ,58300.0,,38.0,14.0,84.0,6.5,1.8,6.7,"Pittsburgh has evolved into a tech-savvy, artsy city, and the eastern suburbs are some of the least expensive places to live in the area, including Turtle Creek but also Monroeville and North Versailles. If you choose to work remotely out of Turtle Creek, you’ll be just 12 miles away from downtown Pittsburgh for a fraction of the cost of living inside the city proper. Even closer is the college-town ambiance around Carnegie-Mellon University and University of Pittsburgh, among other top schools. There are plenty of coffee shops and independent restaurants to choose from right in Turtle Creek as well."
Bemidji, MN,14803.0,65.0, CenturyLink ,136200.0,4.9,,,,1.5,4.8,7.5,"Tall trees and tall tales abound in Bemidji. Located in northwest Minnesota, it’s known as the first city along the Mississippi River and is home to the tall tales of Paul Bunyan and his friend Babe the Blue Ox. The town has an 18-foot tall statue of the lumberjack standing beside the shores of beautiful Lake Bemidji. The city’s downtown area features an array of small businesses; it’s home to live theater, art galleries, a local brewery, and outdoor adventures at Itasca State Park, just 25 miles away."
Springfield, VT,9086.0,70.0, Vermont Telephone Company ,133700.0,5.8,45.0,36.0,94.0,5.1,2.1,4.2,"Located in southeastern Vermont, Springfield is on the border of New Hampshire. The lovely Black River flows right through the downtown area, and from Hartness State Park to Hoyt’s Landing, there are plenty of beautiful outdoor areas to explore in Springfield. It also has a thriving tech community and a co-working space called the Black River Innovation Campus. In 2007, the town was chosen to host the premiere of The Simpsons Movie, which is set in a fictional town named Springfield. The median home price is $133,700, and the median home size is 5.8 rooms. You can get gigabit internet in this small town for $70 a month via the Vermont Telephone Company."
Eastpointe, MI,32601.0,60.0, AT&T Fiber ,104700.0,5.5,19.0,12.0,75.0,3.8,2.1,3.6,"Proudly calling itself the “Gateway to Macomb County,” Eastpointe is a suburb in the Metro Detroit area. It’s close to Warren, Rosewood, and Sterling Heights, which are also great living options. And it’s near outdoor attractions including Lake St. Clair and Metropolitan Beach. Residents can take advantage of 12 parks and 19 coffee shops. Perhaps most enticing are the low living costs, with a median home price of just $104,700; AT&T Fiber provides gigabit broadband internet for just $60 a month."
Philadelphia, PA,1569657.0,60.0, RCN ,191100.0,5.6,42.0,11.0,90.0,8.2,4.9,3.8,"If you’re not ready to give up city living but want an alternative to New York City or Washington D.C., Philadelphia might fill the bill. You can enjoy the historical fascination of living near the birthplace of the US, the many excellent museums, and the city’s thriving art scene. Philly also has a rich culinary history that goes beyond cheesesteaks at Pat’s or Geno’s, and the impressive number of non-chain restaurants in the city reflects this history. Philadelphia is home to a very diverse population, though it’s also notorious for segregation. The median home price is $191,100, but you’ll likely pay more to live in attractive neighborhoods like Old City, Society Hill, Queen Village, Rittenhouse Square, Manayunk, and Chestnut Hill."
Lenexa, KS,52030.0,60.0, AT&T Fiber ,323000.0,6.5,24.0,23.0,70.0,8.1,,6.4,"Folks seem to be happy to live in Lenexa: The community’s government was ranked in the top 10% of the nation based on local satisfaction, according to the ETC Institute, a market research organization. Lenexa is a suburb of Kansas City, Missouri, which is known for great connectivity thanks to Google Fiber, and it boasts a vibrant tech community. Even better, the city hosts The Great Lenexa Barbecue Battle annually. Other nearby possibilities include Raytown, Gladstone, and Kansas City, Kansas."
Miami Lakes, FL,31032.0,60.0, AT&T Fiber ,419200.0,5.5,35.0,15.0,86.0,7.3,6.6,6.2,"A suburb in the Miami metro area, Miami Lakes is known for its large estate lots and low crime rate. The town features tree-lined streets along with manmade lakes and canals. While it’s just 34 minutes away from Miami Beach, with its world-class beaches and nightlife, Miami Lakes still maintains a “small town” feel. The median home price is $419,200, and you can choose from 35 coffee shops when you need a break from your home office."
Fort Collins, CO,159150.0,65.0, CenturyLink ,428400.0,5.6,51.0,18.0,79.0,11.9,4.0,6.9,"Just a short drive from Denver, Fort Collins is home to Colorado State University and many tech companies. It’s filled with pubs and boutiques and is close to incredible mountains, lakes, and rivers. If you’re the outdoorsy type, you’ll love Fort Collins, which consistently ranks among the healthiest cities in the United States. Home prices are also cheaper than in nearby Denver or Boulder, with a median home price of $428,400."
Saint Paul, TX,1038.0,60.0, Grande Communications ,336800.0,7.1,23.0,12.0,76.0,9.0,6.6,10.2,"If the thought of a quiet rural setting in Texas appeals to you, check out the area northeast of Dallas. On the edge of lovely Lavon Lake is Saint Paul, a town with plenty of parks and highly rated schools. If you’re working remotely, you won’t be alone, as over 10% of the people who live in Saint Paul work from home. When you need a city fix, Dallas is just a 35-minute drive away."
Niles, MI,11332.0,60.0, AT&T Fiber ,136400.0,5.3,30.0,34.0,79.0,3.7,2.2,2.7,"On the banks of the St. Joseph River is Niles, also known as the City of Four Flags, as the old fort there was at one time occupied by France, Britain, Spain, and the United States. If you’re looking for riverside living with a lot of history, Niles may be the town for you. The city is just nine miles from South Bend, Indiana, and 90 miles from Chicago. Niles has a large number of parks, which are home to festivals in the spring, summer, and fall. Beachcombers will also appreciate nearby Lake Michigan’s beaches and state parks."
Taos, NM,5687.0,80.0, Xfinity from Comcast ,313700.0,4.6,88.0,18.0,93.0,8.4,1.7,9.4,"Looking for a diverse town with fine art traditions, great culinary options, and a lively music scene? Taos is a great option. Home to an art colony, Taos also boasts a ski resort and a World Heritage Site, the Taos Pueblo, set against the backdrop of the majestic Rocky Mountains and Rio Grande Gorge. The art community has been thriving for decades; D.H. Lawrence and Georgia O’Keeffe lived and worked there. The city is also just a little over an hour away from Santa Fe, New Mexico."
Reedsburg, WI,9480.0,50.0, Reedsburg Utility Commission ,179800.0,5.7,35.0,47.0,84.0,8.2,3.0,1.6,"About an hour north of busy Madison, Wisconsin is the rural city of Reedsburg. Teeming with small-town charm, the community boasts a top-notch school system and an abundance of natural resources along the Baraboo River. A very walkable historic downtown district flanks the river, as well as a thriving tech community. Some good news for remote workers: the city offers the fastest available Internet access in Wisconsin at gigabit speeds for just $50 a month via Reedsburg Utility Commission. The median home price is low at just $179,800, and there are a ton of parks to visit within the city limits."
Princeton, MO,950.0,105.0, GRM Networks ,51200.0,5.4,27.0,27.0,86.0,9.7,0.2,6.4,"With the right internet connection, it’s possible to work from extremely smalltown America. Princeton is a perfect example: a historic little town in Missouri farm country, the birthplace of Calamity Jane, and the Mercer County seat. Princeton is pretty far from anywhere, and not much goes on here; that makes it a perfect place for quiet living in a home without a mortgage on it: Princeton ranks high on our list because of its very low housing and land costs."
Daytona Beach, FL,65339.0,60.0, AT&T Fiber ,165100.0,4.6,23.0,23.0,78.0,6.5,3.3,4.6,"The Daytona Beach area is a popular spring break hotspot, but there’s also a great spot for remote workers nearby: The metro area includes Deltona, a bedroom community for Daytona and Orlando. Affordable housing in the form of planned communities for permanent residents is key in Daytona Beach, as the median home price is just $165,100. Along with Orlando, Daytona Beach offer numerous tourist attractions, and neighboring Deltona has plenty of lakes and woods to explore, as well as an abundance of parks and coffee shops and three private schools."
The Woodlands, TX,109608.0,60.0, AT&T Fiber ,363800.0,7.3,19.0,10.0,73.0,9.5,5.5,9.7,"The suburbs surrounding Houston comprise the fourth-largest metro area in the United States, and that’s where you’ll find The Woodlands. There are plenty of cultural options, from performing arts to museums, and The Woodlands is known for its many parks, golf courses, and corporate headquarters. Just under 10% of the labor force works from home. The Woodlands also has a fine public school system. And if you want to take a trip into the big city, it’s just 28 minutes from Houston."
